incident_code,user_id,barangay_id,emergency_id,incident_id,casualty_count,minor_casualty_count,serious_casualty_count,deceased_casualty_count,distance,distance_km,site_location_id,map_coordinates,remarks,priority_score,priority_level,priority_label,severity_level,responder_count,status,reported_at
IND-2026-0001,3,1,1,2,1,1,0,0,2.1,9.67,25,"14.196100, 121.008200",Cardiac arrest reported at residence near Aldiano Olaes,8.68,P1,Critical,high,2,resolved,2026-05-01 00:01:00
IND-2026-0002,3,2,3,21,0,0,0,0,1.5,0.78,7,"14.298500, 121.014800",House fire reported near GMA Public Market,8.92,P1,Critical,high,4,resolved,2026-05-01 13:12:00
IND-2026-0003,3,3,4,8,2,2,0,0,3.2,1.1,2,"14.300200, 121.016400",Motorcycle accident along road near Municipal Hall,7.34,P2,High,high,3,resolved,2026-05-02 02:02:00
IND-2026-0004,3,4,2,14,1,1,0,0,2.8,0.9,2,"14.302400, 121.018100",Severe bleeding after fall from ladder,8.90,P1,Critical,high,2,resolved,2026-05-02 15:34:00
IND-2026-0005,3,5,1,5,1,1,0,0,3.4,0.19,18,"14.299700, 121.015300",Unconscious patient found near GMA Public Market,7.57,P2,High,high,2,resolved,2026-05-03 04:25:00
IND-2026-0006,3,6,3,19,0,0,0,0,1.9,0.65,7,"14.297300, 121.013600",Residential fire destroying family home,8.92,P1,Critical,high,5,resolved,2026-05-03 16:47:00
IND-2026-0007,3,7,4,10,1,1,0,0,3.8,0.74,1,"14.294100, 121.011200",Pedestrian hit by motorcycle near school zone,7.16,P2,High,high,2,resolved,2026-05-04 05:47:00
IND-2026-0008,3,8,1,3,1,1,0,0,2.4,0.27,12,"14.291800, 121.009500",Stroke victim unresponsive at residence,8.68,P1,Critical,high,3,resolved,2026-05-04 18:53:00
IND-2026-0009,3,9,5,27,0,0,0,0,4.1,0.75,5,"14.289400, 121.007800",Person trapped under collapsed wall after storm,8.46,P1,Critical,high,2,resolved,2026-05-05 08:11:00
IND-2026-0010,3,10,6,32,0,0,0,0,1.9,0.52,5,"14.292700, 121.010400",Physical assault reported near basketball court,6.93,P2,High,high,3,resolved,2026-05-05 21:18:00
IND-2026-0011,3,11,7,36,0,0,0,0,5.3,0.6,5,"14.295600, 121.012700",Flooding in low-lying barangay area near creek,6.51,P2,High,high,5,resolved,2026-05-06 09:44:00
IND-2026-0012,3,12,2,16,1,1,0,0,1.8,1.24,1,"14.287500, 121.005900",Patient fell from second floor of house,7.16,P2,High,high,5,resolved,2026-05-06 23:04:00
IND-2026-0013,3,13,6,34,0,0,0,0,2.9,0.65,5,"14.290300, 121.008100",Stabbing incident near sari-sari store,8.46,P1,Critical,high,4,resolved,2026-05-07 12:15:00
IND-2026-0014,3,14,4,9,2,2,0,0,3.1,0.75,1,"14.293500, 121.010700",Car collision with multiple injuries on national road,7.16,P2,High,high,2,resolved,2026-05-08 01:09:00
IND-2026-0015,3,15,1,4,0,0,0,0,1.6,0.24,18,"14.296800, 121.013200",Seizure episode at residence,6.05,P3,Moderate,medium,3,resolved,2026-05-08 14:02:00
IND-2026-0016,3,16,7,38,0,0,0,0,5.7,1.47,7,"14.285200, 121.004300",Landslide blocking barangay road,8.46,P1,Critical,high,5,resolved,2026-05-09 02:36:00
IND-2026-0017,3,17,2,15,1,1,0,0,2.3,1.09,1,"14.288900, 121.007000",Head injury from motorcycle accident,8.90,P1,Critical,high,4,resolved,2026-05-09 15:21:00
IND-2026-0018,3,18,6,31,0,0,0,0,2.7,0.55,5,"14.291600, 121.009200",Robbery reported at convenience store,6.93,P2,High,high,3,resolved,2026-05-10 04:57:00
IND-2026-0019,3,19,4,12,1,1,0,0,3.6,0.76,1,"14.294400, 121.011800",Hit and run victim requiring medical attention,5.43,P3,Moderate,medium,4,resolved,2026-05-10 17:12:00
IND-2026-0020,3,20,1,7,1,1,0,0,2.5,0.2,14,"14.297200, 121.014100",Diabetic emergency at residence,6.05,P3,Moderate,medium,2,resolved,2026-05-11 06:27:00
IND-2026-0021,3,21,5,28,0,0,0,0,4.4,1.4,5,"14.284000, 121.003600",Entrapment in damaged vehicle after accident,8.46,P1,Critical,high,2,resolved,2026-05-11 19:22:00
IND-2026-0022,3,22,7,40,0,0,0,0,6.1,1.04,5,"14.286800, 121.006000",Evacuation assistance needed due to rising floodwaters,5.43,P3,Moderate,medium,4,resolved,2026-05-12 08:35:00
IND-2026-0023,3,23,2,17,0,0,0,0,2.1,1.03,1,"14.289600, 121.008300",Fracture from fall down staircase,6.93,P2,High,high,4,resolved,2026-05-12 21:45:00
IND-2026-0024,3,24,6,33,0,0,0,0,3.3,0.56,5,"14.292400, 121.010600",Domestic violence incident reported by neighbor,6.93,P2,High,high,2,resolved,2026-05-13 10:37:00
IND-2026-0025,3,25,3,24,0,0,0,0,1.7,0.65,7,"14.295200, 121.012900",Vehicle fire in parking area near market,5.20,P3,Moderate,medium,5,resolved,2026-05-13 23:22:00
IND-2026-0026,3,26,1,1,1,1,0,0,2.0,0.19,18,"14.298000, 121.015200",Asthma attack at residence requiring urgent response,7.16,P2,High,high,2,resolved,2026-05-14 12:09:00
IND-2026-0027,3,27,7,37,2,2,0,0,5.5,1.53,5,"14.283000, 121.002800",Typhoon response needed in heavily affected barangay,6.97,P2,High,high,2,resolved,2026-05-15 01:17:00
