incident_code,user_id,barangay_id,emergency_id,incident_id,casualty_count,distance,map_coordinates,remarks,priority_score,priority_level,priority_label,reported_at
IND-2026-0001,3,1,1,2,1,2.1,"14.196100, 121.008200",Cardiac arrest reported at residence near Aldiano Olaes,8.68,P1,Critical,2026-01-05 08:14:22
IND-2026-0002,3,2,3,21,0,1.5,"14.298500, 121.014800",House fire reported near GMA Public Market,8.92,P1,Critical,2026-01-08 14:32:10
IND-2026-0003,3,3,4,8,2,3.2,"14.300200, 121.016400",Motorcycle accident along road near Municipal Hall,7.34,P2,High,2026-01-10 03:38:32
IND-2026-0004,3,4,2,14,1,2.8,"14.302400, 121.018100",Severe bleeding after fall from ladder,8.90,P1,Critical,2026-01-12 16:03:14
IND-2026-0005,3,5,1,5,1,3.4,"14.299700, 121.015300",Unconscious patient found near GMA Public Market,7.57,P2,High,2026-01-14 04:37:43
IND-2026-0006,3,6,3,19,0,1.9,"14.297300, 121.013600",Residential fire destroying family home,8.92,P1,Critical,2026-01-16 09:44:14
IND-2026-0007,3,7,4,10,1,3.8,"14.294100, 121.011200",Pedestrian hit by motorcycle near school zone,7.16,P2,High,2026-01-18 23:15:07
IND-2026-0008,3,8,1,3,1,2.4,"14.291800, 121.009500",Stroke victim unresponsive at residence,8.68,P1,Critical,2026-01-20 14:55:36
IND-2026-0009,3,9,5,27,0,4.1,"14.289400, 121.007800",Person trapped under collapsed wall after storm,8.46,P1,Critical,2026-01-22 11:39:53
IND-2026-0010,3,10,6,32,0,1.9,"14.292700, 121.010400",Physical assault reported near basketball court,6.93,P2,High,2026-01-24 08:30:26
IND-2026-0011,3,11,7,36,0,5.3,"14.295600, 121.012700",Flooding in low-lying barangay area near creek,6.51,P2,High,2026-01-26 20:19:18
IND-2026-0012,3,12,2,16,1,1.8,"14.287500, 121.005900",Patient fell from second floor of house,7.16,P2,High,2026-01-28 13:59:48
IND-2026-0013,3,13,6,34,0,2.9,"14.290300, 121.008100",Stabbing incident near sari-sari store,8.46,P1,Critical,2026-01-30 13:26:48
IND-2026-0014,3,14,4,9,2,3.1,"14.293500, 121.010700",Car collision with multiple injuries on national road,7.16,P2,High,2026-02-02 07:50:29
IND-2026-0015,3,15,1,4,0,1.6,"14.296800, 121.013200",Seizure episode at residence,6.05,P3,Moderate,2026-02-04 09:53:01
IND-2026-0016,3,16,7,38,0,5.7,"14.285200, 121.004300",Landslide blocking barangay road,8.46,P1,Critical,2026-02-06 01:35:51
IND-2026-0017,3,17,2,15,1,2.3,"14.288900, 121.007000",Head injury from motorcycle accident,8.90,P1,Critical,2026-02-08 15:40:31
IND-2026-0018,3,18,6,31,0,2.7,"14.291600, 121.009200",Robbery reported at convenience store,6.93,P2,High,2026-02-10 03:51:52
IND-2026-0019,3,19,4,12,1,3.6,"14.294400, 121.011800",Hit and run victim requiring medical attention,5.43,P3,Moderate,2026-02-12 04:57:28
IND-2026-0020,3,20,1,7,1,2.5,"14.297200, 121.014100",Diabetic emergency at residence,6.05,P3,Moderate,2026-02-14 22:38:46
IND-2026-0021,3,21,5,28,0,4.4,"14.284000, 121.003600",Entrapment in damaged vehicle after accident,8.46,P1,Critical,2026-02-16 07:21:46
IND-2026-0022,3,22,7,40,0,6.1,"14.286800, 121.006000",Evacuation assistance needed due to rising floodwaters,5.43,P3,Moderate,2026-02-18 13:05:49
IND-2026-0023,3,23,2,17,0,2.1,"14.289600, 121.008300",Fracture from fall down staircase,6.93,P2,High,2026-02-20 08:06:14
IND-2026-0024,3,24,6,33,0,3.3,"14.292400, 121.010600",Domestic violence incident reported by neighbor,6.93,P2,High,2026-02-22 17:25:14
IND-2026-0025,3,25,3,24,0,1.7,"14.295200, 121.012900",Vehicle fire in parking area near market,5.20,P3,Moderate,2026-02-24 13:49:04
